"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Jul 31 11:39:21 GMT 2021","Sat Jul 31 11:39:21 GMT 2021","5","","TestSignIn","","TestSignIn","TestSignInEmptyNameInputField","BE-01",""
"broken","Sat Jul 31 11:39:21 GMT 2021","Sat Jul 31 11:39:21 GMT 2021","9","","TestSignIn","","TestSignIn","TestSignIn","BE-04",""
"broken","Sat Jul 31 11:39:21 GMT 2021","Sat Jul 31 11:39:21 GMT 2021","3","","TestSignIn","","TestSignIn","TestSignInWrongPassword","BE-03",""
"broken","Sat Jul 31 11:39:21 GMT 2021","Sat Jul 31 11:39:21 GMT 2021","3","","TestRegistration","","TestRegistration","TestRegistrationNoMatchPassword","RI-05",""
"broken","Sat Jul 31 11:39:21 GMT 2021","Sat Jul 31 11:39:21 GMT 2021","8","","TestRegistration","","TestRegistration","TestValidRegistration","RI-06",""
"broken","Sat Jul 31 11:39:21 GMT 2021","Sat Jul 31 11:39:21 GMT 2021","6","","TestRegistration","","TestRegistration","TestRegistrationNoEmailAddress","RI-01",""
"broken","Sat Jul 31 11:39:21 GMT 2021","Sat Jul 31 11:39:21 GMT 2021","3","","TestRegistration","","TestRegistration","TestRegistrationNotValidPassword","RI-04",""
"broken","Sat Jul 31 11:39:21 GMT 2021","Sat Jul 31 11:39:21 GMT 2021","6","","TestRegistration","","TestRegistration","TestRegistrationNoPassword","RI-03",""
"broken","Sat Jul 31 11:39:20 GMT 2021","Sat Jul 31 11:39:21 GMT 2021","162","","TestSignOut","","TestSignOut","TestSignOut","TestSignOut()",""
"broken","Sat Jul 31 11:39:21 GMT 2021","Sat Jul 31 11:39:21 GMT 2021","3","","TestSignIn","","TestSignIn","TestSignInEmptyPasswordField","BE-02",""
"broken","Sat Jul 31 11:39:21 GMT 2021","Sat Jul 31 11:39:21 GMT 2021","4","","TestRegistration","","TestRegistration","TestRegistrationNoName","RI-02",""
